Daily Discharge and Daily Water Level
  ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
01AN002,1,1,1974,1,22.7,B,9.06,B,6.8,B,15.1,B,153,,23,,9.57,,11.6,,3.74,,32.8,,19.3,,13.5,B
01AN002,1,1,1974,2,19.8,B,8.3,B,6.65,B,16.4,B,165,,23.4,,14.7,,10.4,,3.2,,22.9,,18,,13,B
01AN002,1,1,1974,3,18.1,B,7.79,B,5.95,B,19.3,B,92.9,,21,,12.2,,9.29,,2.97,,28.1,,16.3,,70.8,B
01AN002,1,1,1974,4,16.7,B,7.28,B,5.66,B,25.2,B,64.3,,18.9,,11.8,,9.68,,8.33,,49.3,,14.9,,136,B
01AN002,1,1,1974,5,15.3,B,6.6,B,5.55,B,35.7,B,56.1,,17.6,,9.8,,11.9,,15.3,,39.9,,14.4,,92,B
01AN002,1,1,1974,6,14.2,B,6.14,B,8.5,B,89.8,B,47.6,,18.7,A,10.6,,10.5,A,10.6,,29.4,,13.7,,75.9,B
01AN002,1,1,1974,7,12.7,B,5.86,B,13.6,B,75,B,41.6,,17,E,13.3,,8.38,A,8.13,,22.7,,12.7,,63.1,B
01AN002,1,1,1974,8,11.6,B,5.55,B,37.1,B,65.1,B,41.9,,15.9,E,12.2,,7.45,,6.74,,18,,11.7,,76.5,B
01AN002,1,1,1974,9,10.3,B,5.18,B,33.1,B,51.8,B,49.6,,15,E,10.4,,7.11,,5.86,,15.3,,11.3,,136,B
01AN002,1,1,1974,10,9.66,B,4.9,B,26.9,B,37.4,E,43.9,,14.7,E,48.1,,6.65,,5.15,,13.6,,10.8,,289,E
01AN002,1,1,1974,11,8.92,B,4.67,B,22.4,B,26.9,E,39.6,,15.9,E,58.9,,6.12,,4.96,,12.7,,10.3,,173,E
01AN002,1,1,1974,12,8.21,B,4.42,B,17.6,B,20.4,E,36.2,,14.7,E,40.8,,5.72,,4.67,,11.5,,9.88,,107,A
01AN002,1,1,1974,13,7.56,B,4.16,B,14.9,B,22.9,E,42.8,,15.3,A,28.2,,5.38,,4.39,,11.3,,10.8,,75.9,
01AN002,1,1,1974,14,7.02,B,3.94,B,13.2,B,34,E,59.2,,13.5,,20.6,,5.07,,4.45,,10.8,,12.5,,58.6,
01AN002,1,1,1974,15,6.4,B,3.74,B,11.3,B,63.7,E,48.4,,12,,80.4,,5.58,,4.02,,10.8,,11.8,,45.3,
01AN002,1,1,1974,16,6.03,B,3.6,B,9.91,B,119,E,42.5,,10.9,,86.7,,5.44,,3.65,,13.6,,11.4,,38.5,
01AN002,1,1,1974,17,5.58,B,3.43,B,12.5,B,106,E,37.4,,9.91,,51.3,,4.79,,3.4,,17.9,,10.8,,32.3,
01AN002,1,1,1974,18,5.18,B,3.31,B,41.9,B,79.3,E,38.2,,10.7,,34,,4.47,,3.4,,26.8,,10.2,,28.1,
01AN002,1,1,1974,19,4.84,B,3.23,B,35.7,B,66.5,E,35.1,,12.7,,29.7,,4.47,,3.57,,25,,9.74,,25.2,
01AN002,1,1,1974,20,4.53,B,3.28,B,29.2,B,51,E,30.6,,12.9,,53.5,,4.25,,3.37,,21.9,,9.17,,23.1,
01AN002,1,1,1974,21,4.45,B,3.4,B,25.8,B,37.7,E,27.3,,12.3,,86.7,,4.13,,3.26,,19.9,,11.6,B,21,
